DATE,URL,R_avg,G_avg,B_avg,R_std,G_std,B_std,range,genre,historical,interior,landscape,mythological,other,portrait,religious,still-life,study
1552,https://www.wga.hu/art/s/salviati/3/1view1.jpg,141.28213943229767,113.97306578442654,96.35905734560798,58.9123522265631,50.5926984822783,47.4609256940311,254.99999999999997,0,0,0,0,0,0,0,1,0,0
1564,https://www.wga.hu/art/t/tintoret/3b/1albergo/1/02ceilin.jpg,98.24210220338423,82.01022940924234,68.80572265560576,75.65325426694864,73.93731914704146,77.67998066582662,230.94,0,0,0,0,1,0,0,0,0,0
1744,https://www.wga.hu/art/p/pannini/preachin.jpg,100.71793677261137,88.81004713838999,71.46112886048988,56.003215141334316,58.26077414308408,55.43419416587918,242.92299999999997,0,0,0,0,0,0,0,1,0,0
1889,https://www.wga.hu/art/g/gogh_van/16/selfpo31.jpg,90.0288047285464,94.60333500125094,73.31411996497373,62.289342151319346,58.177565858869116,44.73817724162772,253.206,0,0,0,0,0,0,1,0,0,0
1526,https://www.wga.hu/art/g/giulio/1pala_te/psyche/5vault4.jpg,126.47747325457183,91.60498875974554,58.64244351971429,61.84084229459113,51.696961279517176,43.37240693621985,253.74599999999998,0,0,0,0,1,0,0,0,0,0
1480,https://www.wga.hu/art/a/alesso/annuncia.jpg,104.84188747007182,89.66891916543153,70.0463493330293,39.76334901292716,31.89087746260748,27.942973545467964,234.343,0,0,0,0,0,0,0,1,0,0
1866,https://www.wga.hu/art/d/degas/1/early19.jpg,125.7095745318352,113.4587415730337,98.6095288389513,64.19981373033715,67.29295903135326,76.59319376272451,252.93999999999997,0,0,0,0,0,1,0,0,0,0
1538,https://www.wga.hu/art/g/giulio/ducale/1troia3.jpg,146.06295286195285,123.07792508417508,108.85253787878789,56.94973183544494,55.69165211583954,54.97300551078808,254.41299999999998,0,0,1,0,0,0,0,0,0,0
1507,https://www.wga.hu/art/r/raphael/2firenze/2/34ardin.jpg,112.67756874939268,92.46754639976679,82.99388397628996,76.70477521548473,74.31382984808401,74.7905982860089,254.772,0,0,0,0,0,0,0,1,0,0
1460,https://www.wga.hu/art/p/piero/1/3anton02.jpg,161.216127433936,114.23369175938804,67.16399600139081,65.42963072915606,59.19017112147666,44.8017736817016,252.90699999999998,0,0,0,0,0,0,0,1,0,0
1778,https://www.wga.hu/art/w/west/la_hogue.jpg,92.2648801903824,77.10771130805843,58.9041038897095,51.30528804905729,42.99728569726293,31.857604368154128,252.94799999999998,0,1,0,0,0,0,0,0,0,0
1885,https://www.wga.hu/art/p/prouve/cicada.jpg,86.14323588525488,82.3052475790243,81.46212040928192,41.59626775072231,42.76027734601494,42.62707318538764,251.327,0,0,0,0,0,1,0,0,0,0
1483,https://www.wga.hu/art/b/botticel/7portrai/10youngm.jpg,50.63090070210632,33.68816850551655,30.587107990638582,51.783144883509955,42.64775005307383,27.806098148501626,239.364,0,0,0,0,0,0,1,0,0,0
1595,https://www.wga.hu/art/c/caravagg/01/06concer.jpg,92.35042585947191,70.84227693602693,61.94658389450056,68.98105228249118,60.92642722583407,52.04553692012066,254.54399999999998,1,0,0,0,0,0,0,0,0,0
1550,https://www.wga.hu/art/m/massys/jan/healing.jpg,114.22790414049638,90.49940392706873,75.32471187267517,70.92863015961619,64.25329671731592,55.65812401107165,254.772,0,0,0,0,0,0,0,1,0,0
1474,https://www.wga.hu/art/a/antonell/manportr.jpg,60.572077596996245,40.34573717146433,38.267650813516894,66.52927556307576,45.26433286831393,31.76213059624996,251.33499999999998,0,0,0,0,0,0,1,0,0,0
1565,https://www.wga.hu/art/b/bruegel/pieter_e/07/21novemb.jpg,86.80251800720288,60.803031212484996,44.26342336934774,62.50802413046229,57.11012848458352,47.30962587217632,254.20199999999997,0,0,0,1,0,0,0,0,0,0
1888,https://www.wga.hu/art/g/gogh_van/08/1arles04.jpg,111.14757578065499,142.76850038080732,133.45692916984007,48.456772687173896,47.6703851906492,61.22394708832639,254.42999999999998,0,0,0,1,0,0,0,0,0,0
1375,https://www.wga.hu/art/c/catarino/coronatj.jpg,143.67643800020787,82.42508471052905,40.421565325849706,51.57295052780944,35.82191193539215,16.83478823014379,236.017,0,0,0,0,0,0,0,1,0,0
1656,https://www.wga.hu/art/c/cortona/4/10gangel.jpg,82.75906995022268,65.47704872936862,55.50017815037988,71.91370487817532,65.25719439107127,56.104744685097245,254.70099999999996,0,0,0,0,0,0,0,1,0,0
1315,https://www.wga.hu/art/g/giotto/s_croce/1peruzzi/baptis21.jpg,153.95373134328358,136.49794029850747,103.12792039800995,46.58633370137053,40.428042937926115,35.62144468267059,229.51899999999998,0,0,0,0,0,0,0,1,0,0
